日期,收入/支出,類別,備註,合計
2015-11-14,支出,晚餐,,-100.0
2015-11-15,支出,type110,羽球穿線 握把布,-350.0
2015-11-15,支出,午餐,,-190.0
2015-11-15,支出,晚餐,,-58.0
2015-11-16,支出,日常用品,冷氣費,-160.0
2015-11-16,支出,午餐,,-95.0
2015-11-16,支出,晚餐,,-75.0
2015-11-16,支出,零食,,-40.0
2015-11-17,支出,午餐,,-72.0
2015-11-17,支出,零食,,-50.0
2015-11-17,支出,飲料,,-50.0
2015-11-17,支出,飲料,,-22.0
2015-11-17,支出,早餐,,-20.0
2015-11-18,支出,晚餐,,-86.0
2015-11-18,支出,午餐,,-85.0
2015-11-19,支出,type110,螢幕,-3588.0
2015-11-19,支出,type119,轉接頭,-149.0
2015-11-19,支出,晚餐,,-127.0
2015-11-19,支出,午餐,,-60.0
2015-11-20,支出,午餐,,-95.0
2015-11-20,支出,晚餐,,-90.0
2015-11-20,支出,日常用品,文具,-51.0
2015-11-21,支出,晚餐,,-504.0
2015-11-21,支出,午餐,,-99.0
2015-11-21,支出,早餐,,-40.0
2015-11-21,支出,交通,,-40.0
2015-11-21,支出,交通,,-40.0
2015-11-22,支出,午餐,,-111.0
2015-11-22,支出,晚餐,,-95.0
2015-11-23,支出,晚餐,,-170.0
2015-11-23,支出,午餐,,-50.0
2015-11-24,支出,晚餐,,-90.0
2015-11-24,支出,午餐,,-79.0
2015-11-24,支出,早餐,,-50.0
2015-11-25,支出,晚餐,,-75.0
2015-11-25,支出,午餐,,-70.0
2015-11-25,支出,零食,,-60.0
2015-11-26,支出,晚餐,,-105.0
2015-11-26,支出,午餐,,-85.0
2015-11-27,支出,晚餐,,-121.0
2015-11-27,支出,午餐,,-70.0
2015-11-27,支出,早餐,,-40.0
2015-11-28,支出,午餐,,-60.0
2015-11-29,支出,晚餐,,-110.0
2015-11-30,支出,晚餐,,-150.0
2015-11-30,支出,午餐,,-45.0
2015-12-01,支出,晚餐,,-90.0
2015-12-01,支出,午餐,,-80.0
2015-12-02,支出,晚餐,,-110.0
2015-12-02,支出,午餐,,-60.0
2015-12-02,支出,零食,,-50.0
2015-12-03,支出,晚餐,,-75.0
2015-12-03,支出,午餐,,-50.0
2015-12-04,支出,晚餐,,-80.0
2015-12-04,支出,午餐,,-75.0
2015-12-05,支出,晚餐,,-75.0
2015-12-05,支出,午餐,,-70.0
2015-12-06,支出,晚餐,,-106.0
2015-12-06,支出,午餐,,-61.0
2015-12-07,支出,晚餐,,-110.0
2015-12-07,支出,零食,,-99.0
2015-12-07,支出,午餐,,-65.0
2015-12-08,支出,日常用品,影印卡 儲值,-100.0
2015-12-08,支出,晚餐,,-90.0
2015-12-08,支出,零食,,-50.0
2015-12-09,支出,晚餐,,-95.0
2015-12-09,支出,午餐,,-85.0
2015-12-09,支出,日常用品,資料盒,-78.0
2015-12-10,支出,晚餐,,-121.0
2015-12-10,支出,零食,,-99.0
2015-12-10,支出,午餐,,-45.0
2015-12-11,支出,日常用品,沐浴乳,-89.0
2015-12-11,支出,晚餐,,-75.0
2015-12-11,支出,午餐,,-65.0
2015-12-12,支出,晚餐,,-95.0
2015-12-12,支出,午餐,,-40.0
2015-12-13,支出,晚餐,,-102.0
2015-12-13,支出,午餐,,-85.0
2015-12-13,支出,零食,,-17.0
2015-12-14,支出,晚餐,,-150.0
2015-12-14,支出,午餐,,-50.0
2015-12-15,支出,晚餐,,-75.0
2015-12-16,支出,晚餐,,-102.0
2015-12-16,支出,午餐,,-85.0
2015-12-16,支出,type119,影印,-7.0
2015-12-17,支出,晚餐,,-95.0
2015-12-17,支出,午餐,,-60.0
2015-12-17,支出,零食,,-39.0
2015-12-18,支出,晚餐,,-372.0
2015-12-18,支出,交通,,-75.0
2015-12-18,支出,午餐,,-50.0
2015-12-19,支出,午餐,,-48.0
2015-12-20,支出,晚餐,,-100.0
2015-12-21,支出,type119,悠遊卡儲值,-200.0
2015-12-21,支出,晚餐,,-102.0
2015-12-21,支出,午餐,,-45.0
2015-12-22,支出,晚餐,,-95.0
2015-12-22,支出,午餐,,-80.0
2015-12-23,支出,午餐,,-60.0
2015-12-23,支出,晚餐,,-60.0
2015-12-23,支出,宵夜,,-50.0
2015-12-24,支出,type107,steam,-150.0
2015-12-24,支出,晚餐,,-95.0
2015-12-24,支出,午餐,,-50.0
2015-12-24,支出,宵夜,,-50.0
2015-12-25,支出,晚餐,,-102.0
2015-12-25,支出,宵夜,,-50.0
2015-12-25,支出,午餐,,-45.0
2015-12-26,支出,晚餐,,-95.0
2015-12-26,支出,宵夜,,-83.0
2015-12-26,支出,午餐,,-40.0
2015-12-27,支出,晚餐,,-102.0
2015-12-27,支出,宵夜,,-50.0
2015-12-28,支出,晚餐,,-150.0
2015-12-28,支出,午餐,,-60.0
2015-12-29,支出,晚餐,,-95.0
2015-12-29,支出,午餐,,-50.0
2015-12-29,支出,早餐,,-20.0
2015-12-30,支出,午餐,,-102.0
2015-12-30,支出,晚餐,,-75.0
2015-12-31,支出,午餐,,-110.0
2015-12-31,支出,晚餐,,-95.0
2015-12-31,支出,宵夜,,-55.0
2015-12-31,支出,零食,,-34.0
2016-01-01,支出,午餐,,-65.0
2016-01-01,支出,晚餐,,-55.0
2016-01-03,支出,宵夜,,-100.0
2016-01-03,支出,午餐,,-35.0
2016-01-03,支出,晚餐,,-30.0
2016-01-04,支出,type111,大資盃,-633.0
2016-01-04,支出,晚餐,,-90.0
2016-01-04,支出,午餐,,-79.0
2016-01-04,支出,type119,隊費,-60.0
2016-01-04,支出,早餐,,-55.0
2016-01-05,支出,晚餐,,-102.0
2016-01-05,支出,午餐,,-60.0
2016-01-06,支出,晚餐,,-95.0
2016-01-06,支出,午餐,,-85.0
2016-01-07,支出,晚餐,,-90.0
2016-01-07,支出,零食,,-45.0
2016-01-07,支出,午餐,,-43.0
2016-01-07,支出,早餐,,-20.0
2016-01-08,支出,晚餐,,-75.0
2016-01-08,支出,午餐,,-50.0
2016-01-08,支出,早餐,,-20.0
2016-01-09,支出,晚餐,,-115.0
2016-01-10,支出,晚餐,,-99.0
2016-01-11,支出,晚餐,,-108.0
2016-01-11,支出,午餐,,-60.0
2016-01-12,支出,晚餐,,-108.0
2016-01-12,支出,午餐,,-50.0
2016-01-12,支出,早餐,,-40.0
2016-01-13,支出,晚餐,,-90.0
2016-01-13,支出,午餐,,-85.0
2016-01-13,支出,早餐,,-20.0
2016-01-14,支出,晚餐,,-109.0
2016-01-14,支出,午餐,,-60.0
2016-01-14,支出,早餐,,-40.0
2016-01-15,支出,午餐,,-102.0
2016-01-16,支出,晚餐,,-95.0
2016-01-17,支出,午餐,,-114.0
2016-01-17,支出,晚餐,,-72.0
2016-01-18,支出,type107,羽球證,-500.0
2016-01-18,支出,晚餐,,-150.0
2016-01-18,支出,午餐,,-95.0
2016-01-19,支出,晚餐,,-105.0
2016-01-19,支出,午餐,,-90.0
2016-01-24,支出,晚餐,,-330.0
2016-01-24,支出,日常用品,拖鞋,-20.0
2016-01-25,支出,午餐,,-102.0
2016-01-25,支出,晚餐,,-60.0
2016-01-25,支出,晚餐,,-36.0
2016-01-25,支出,飲料,,-35.0
2016-01-25,支出,晚餐,,-25.0
2016-01-25,支出,飲料,,-16.0
2016-01-25,支出,晚餐,,-10.0
2016-01-26,支出,午餐,,-549.0
2016-02-08,支出,type107,貝殼幣,-100.0
2016-02-16,支出,晚餐,,-120.0
2016-02-17,支出,晚餐,,-95.0
2016-02-17,支出,午餐,,-60.0
2016-02-18,支出,晚餐,,-95.0
2016-02-18,支出,午餐,,-45.0
2016-02-19,支出,晚餐,,-116.0
2016-02-19,支出,宵夜,,-50.0
2016-02-19,支出,午餐,,-16.0
2016-02-20,支出,晚餐,,-95.0
2016-02-20,支出,午餐,,-40.0
2016-02-20,支出,宵夜,,-35.0
2016-02-21,支出,午餐,,-102.0
2016-02-21,支出,晚餐,,-95.0
2016-02-22,支出,晚餐,,-100.0
2016-02-22,支出,午餐,,-45.0
2016-02-23,支出,門票,中央電競啟動碼,-300.0
2016-02-23,支出,晚餐,,-90.0
2016-02-23,支出,午餐,,-60.0
2016-02-24,支出,晚餐,,-110.0
2016-02-24,支出,午餐,,-80.0
2016-02-24,支出,宵夜,,-50.0
2016-02-25,支出,type119,影印儲值,-200.0
2016-02-25,支出,晚餐,,-117.0
2016-02-25,支出,午餐,,-45.0
2016-02-26,支出,日常用品,網路卡,-800.0
2016-02-26,支出,晚餐,,-100.0
2016-02-26,支出,午餐,,-85.0
2016-02-27,支出,type119,手機背貼,-159.0
2016-02-27,支出,午餐,,-110.0
2016-02-27,支出,宵夜,,-99.0
2016-02-27,支出,晚餐,,-95.0
2016-02-29,支出,晚餐,,-139.0
2016-02-29,支出,宵夜,,-16.0
2016-03-01,支出,晚餐,,-75.0
2016-03-01,支出,午餐,,-60.0
2016-03-01,支出,宵夜,,-50.0
2016-03-02,支出,晚餐,,-102.0
2016-03-02,支出,午餐,,-45.0
2016-03-02,支出,飲料,,-25.0
2016-03-03,支出,晚餐,,-95.0
2016-03-03,支出,午餐,,-60.0
2016-03-03,支出,type119,掛號信,-26.0
2016-03-03,支出,飲料,,-17.0
2016-03-04,支出,type119,腳踏車坐墊,-200.0
2016-03-04,支出,午餐,,-159.0
2016-03-04,支出,晚餐,,-102.0
2016-03-05,支出,午餐,,-95.0
2016-03-05,支出,晚餐,,-95.0
2016-03-06,支出,晚餐,,-121.0
2016-03-06,支出,午餐,,-63.0
2016-03-07,支出,晚餐,,-115.0
2016-03-07,支出,午餐,,-60.0
2016-03-08,支出,晚餐,,-102.0
2016-03-08,支出,午餐,,-60.0
2016-03-09,支出,晚餐,,-95.0
2016-03-09,支出,午餐,,-90.0
2016-03-10,支出,type107,楓之谷,-150.0
2016-03-10,支出,晚餐,,-102.0
2016-03-11,支出,type107,全境封鎖,-1490.0
2016-03-11,支出,午餐,,-85.0
2016-03-11,支出,晚餐,,-75.0
2016-03-12,支出,晚餐,,-95.0
2016-03-12,支出,午餐,,-50.0
2016-03-13,支出,晚餐,,-100.0
2016-03-13,支出,午餐,,-69.0
2016-03-14,支出,晚餐,,-109.0
2016-03-14,支出,午餐,,-60.0
2016-03-14,支出,type119,掃描成績單,-30.0
2016-03-15,支出,晚餐,,-102.0
2016-03-15,支出,午餐,,-75.0
2016-03-15,支出,type119,掃描成績單,-20.0
2016-03-16,支出,晚餐,,-90.0
2016-03-16,支出,午餐,,-85.0
2016-03-17,支出,晚餐,,-100.0
2016-03-17,支出,午餐,,-60.0
2016-03-18,支出,晚餐,,-174.0
2016-03-18,支出,午餐,,-75.0
2016-03-18,支出,早餐,,-20.0
2016-03-19,支出,晚餐,,-115.0
2016-03-21,支出,晚餐,,-104.0
2016-03-22,支出,晚餐,,-100.0
2016-03-22,支出,午餐,,-60.0
2016-03-23,支出,午餐,,-110.0
2016-03-23,支出,宵夜,,-99.0
2016-03-23,支出,晚餐,,-80.0
2016-03-24,支出,晚餐,,-100.0
2016-03-24,支出,午餐,,-60.0
2016-03-25,支出,晚餐,,-95.0
2016-03-25,支出,午餐,,-90.0
2016-03-26,支出,晚餐,,-115.0
2016-03-26,支出,午餐,,-80.0
2016-03-27,支出,type107,羽球 勝利金箭級,-340.0
2016-03-27,支出,type107,羽球拍線,-280.0
2016-03-27,支出,晚餐,,-110.0
2016-03-27,支出,午餐,,-39.0
2016-03-28,支出,晚餐,,-120.0
2016-03-28,支出,午餐,,-80.0
2016-03-29,支出,晚餐,,-97.0
2016-03-29,支出,宵夜,,-52.0
2016-03-29,支出,午餐,,-39.0
2016-03-30,支出,午餐,,-100.0
2016-03-30,支出,晚餐,,-100.0
2016-03-31,支出,午餐,,-60.0
2016-04-05,支出,晚餐,,-85.0
2016-04-06,支出,晚餐,,-100.0
2016-04-06,支出,午餐,,-85.0
2016-04-06,支出,日常用品,立可帶替換帶,-20.0
2016-04-07,支出,晚餐,,-90.0
2016-04-07,支出,午餐,,-60.0
2016-04-08,支出,晚餐,,-95.0
2016-04-08,支出,午餐,,-87.0
2016-04-09,支出,晚餐,,-160.0
2016-04-09,支出,日常用品,檯燈燈管,-135.0
2016-04-09,支出,午餐,,-97.0
2016-04-09,支出,早餐,,-40.0
2016-04-10,支出,晚餐,,-77.0
2016-04-11,支出,晚餐,,-90.0
2016-04-11,支出,午餐,,-60.0
2016-04-12,支出,晚餐,,-120.0
2016-04-12,支出,午餐,,-60.0
2016-04-12,支出,宵夜,,-50.0
2016-04-13,支出,晚餐,,-95.0
2016-04-13,支出,午餐,,-60.0
2016-04-14,支出,晚餐,,-102.0
2016-04-14,支出,午餐,,-60.0
2016-04-15,支出,type117,悠遊卡,-100.0
2016-04-15,支出,午餐,,-85.0
2016-04-15,支出,晚餐,,-82.0
2016-04-16,支出,晚餐,,-385.0
2016-04-16,支出,午餐,,-75.0
2016-04-16,支出,早餐,,-50.0
2016-04-17,支出,午餐,,-99.0
2016-04-17,支出,晚餐,,-99.0
2016-04-18,支出,晚餐,,-100.0
2016-04-18,支出,午餐,,-60.0
2016-04-19,支出,晚餐,,-90.0
2016-04-19,支出,午餐,,-60.0
2016-04-20,支出,晚餐,,-88.0
2016-04-20,支出,午餐,,-60.0
2016-04-21,支出,書,影印卡儲值,-100.0
2016-04-21,支出,晚餐,,-90.0
2016-04-21,支出,午餐,,-60.0
2016-04-22,支出,晚餐,,-75.0
2016-04-22,支出,午餐,,-60.0
2016-04-23,支出,晚餐,,-150.0
2016-04-23,支出,午餐,,-103.0
2016-04-23,支出,宵夜,,-77.0
2016-04-24,支出,晚餐,,-92.0
2016-04-24,支出,午餐,,-75.0
2016-04-25,支出,晚餐,,-95.0
2016-04-25,支出,午餐,,-60.0
2016-04-25,支出,宵夜,,-50.0
2016-04-25,支出,日常用品,藍筆筆芯,-26.0
2016-04-26,支出,晚餐,,-120.0
2016-04-26,支出,午餐,,-45.0
2016-04-27,支出,晚餐,,-90.0
2016-04-27,支出,午餐,,-60.0
2016-04-28,支出,晚餐,,-110.0
2016-04-28,支出,午餐,,-60.0
2016-04-29,支出,type107,MLB.TV,-1801.0
2016-04-29,支出,晚餐,,-102.0
2016-04-29,支出,午餐,,-50.0
2016-04-29,支出,書,影印,-22.0
2016-04-30,支出,午餐,,-110.0
2016-05-01,支出,晚餐,,-89.0
2016-05-02,支出,晚餐,,-90.0
2016-05-02,支出,午餐,,-50.0
2016-05-03,支出,晚餐,,-90.0
2016-05-03,支出,午餐,,-60.0
2016-05-04,支出,晚餐,,-95.0
2016-05-04,支出,午餐,,-60.0
2016-05-05,支出,晚餐,,-100.0
2016-05-05,支出,午餐,,-50.0
2016-05-06,支出,日常用品,冷氣卡,-150.0
2016-05-06,支出,晚餐,,-118.0
2016-05-06,支出,午餐,,-90.0
2016-05-07,支出,晚餐,,-95.0
2016-05-07,支出,午餐,,-57.0
2016-05-08,支出,晚餐,,-128.0
2016-05-08,支出,午餐,,-88.0
2016-05-09,支出,晚餐,,-100.0
2016-05-09,支出,午餐,,-60.0
2016-05-09,支出,宵夜,,-50.0
2016-05-10,支出,晚餐,,-102.0
2016-05-10,支出,午餐,,-50.0
2016-05-11,支出,書,影印卡儲值,-100.0
2016-05-11,支出,午餐,,-85.0
2016-05-11,支出,晚餐,,-80.0
2016-05-11,支出,宵夜,,-50.0
2016-05-12,支出,晚餐,,-100.0
2016-05-12,支出,午餐,,-60.0
2016-05-13,支出,晚餐,,-105.0
2016-05-13,支出,午餐,,-85.0
2016-05-13,支出,日常用品,垃圾袋,-50.0
2016-05-13,支出,早餐,,-20.0
2016-05-14,支出,日常用品,剪頭髮,-100.0
2016-05-14,支出,午餐,,-60.0
2016-05-15,支出,type110,筆電,-30500.0
2016-05-15,支出,type110,筆電ram,-899.0
2016-05-15,支出,晚餐,,-100.0
2016-05-15,支出,交通,停車費,-90.0
2016-05-16,支出,晚餐,,-100.0
2016-05-16,支出,午餐,,-60.0
2016-05-17,支出,晚餐,,-90.0
2016-05-17,支出,午餐,,-41.0
2016-05-18,支出,晚餐,,-102.0
2016-05-18,支出,午餐,,-60.0
2016-05-19,支出,晚餐,,-112.0
2016-05-19,支出,午餐,,-60.0
2016-05-20,支出,午餐,,-85.0
2016-05-20,支出,晚餐,,-75.0
2016-05-20,支出,早餐,,-20.0
2016-05-21,支出,晚餐,,-160.0
2016-05-21,支出,午餐,,-80.0
2016-05-22,支出,日常用品,冷氣卡,-200.0
2016-05-22,支出,晚餐,,-109.0
2016-05-22,支出,午餐,,-102.0
2016-05-23,支出,晚餐,,-110.0
2016-05-23,支出,午餐,,-100.0
2016-05-24,支出,晚餐,,-95.0
2016-05-24,支出,午餐,,-60.0
2016-05-25,支出,晚餐,,-100.0
2016-05-25,支出,午餐,,-80.0
2016-05-26,支出,晚餐,,-100.0
2016-05-26,支出,午餐,,-60.0
2016-05-27,支出,晚餐,,-102.0
2016-05-27,支出,午餐,,-50.0
2016-05-28,支出,晚餐,,-114.0
2016-05-28,支出,午餐,,-100.0
2016-05-28,支出,早餐,,-60.0
2016-05-29,支出,晚餐,,-113.0
2016-05-29,支出,午餐,,-90.0
2016-05-29,支出,宵夜,,-50.0
2016-05-30,支出,晚餐,,-99.0
2016-05-30,支出,午餐,,-50.0
2016-05-31,支出,晚餐,,-100.0
2016-05-31,支出,午餐,,-60.0
2016-06-01,支出,晚餐,,-102.0
2016-06-01,支出,午餐,,-80.0
2016-06-02,支出,晚餐,,-582.0
2016-06-02,支出,午餐,,-60.0
2016-06-02,支出,交通,停車費,-15.0
2016-06-03,支出,日常用品,冷氣費,-150.0
2016-06-03,支出,午餐,,-85.0
2016-06-03,支出,晚餐,,-80.0
2016-06-04,支出,晚餐,,-138.0
2016-06-04,支出,午餐,,-60.0
2016-06-05,支出,晚餐,,-130.0
2016-06-05,支出,午餐,,-95.0
2016-06-06,支出,晚餐,,-400.0
2016-06-06,支出,午餐,,-60.0
2016-06-06,支出,交通,,-40.0
2016-06-07,支出,晚餐,,-102.0
2016-06-07,支出,日常用品,悠遊卡,-100.0
2016-06-07,支出,午餐,,-46.0
2016-06-08,支出,晚餐,,-625.0
2016-06-08,支出,午餐,,-60.0
2016-06-08,支出,交通,,-15.0
2016-06-09,支出,type107,貝殼幣,-250.0
2016-06-12,支出,日常用品,冷氣卡,-150.0
2016-06-12,支出,晚餐,,-130.0
2016-06-13,支出,晚餐,,-112.0
2016-06-13,支出,午餐,,-50.0
2016-06-13,支出,早餐,,-20.0
2016-06-14,支出,晚餐,,-106.0
2016-06-14,支出,午餐,,-60.0
2016-06-14,支出,宵夜,,-50.0
2016-06-15,支出,晚餐,,-95.0
2016-06-15,支出,午餐,,-85.0
2016-06-15,支出,宵夜,,-50.0
2016-06-15,支出,日常用品,藍筆芯 橡皮擦,-36.0
2016-06-15,收入,type204,影印卡退費,45.0
2016-06-15,收入,type201,統一發票,200.0
2016-06-16,支出,晚餐,,-158.0
2016-06-16,支出,宵夜,,-40.0
2016-06-16,支出,午餐,,-37.0
2016-06-17,支出,晚餐,,-145.0
2016-06-17,支出,日常用品,雨傘,-70.0
2016-06-17,支出,飲料,,-45.0
2016-06-17,支出,午餐,,-22.0
2016-06-17,支出,宵夜,,-20.0
2016-06-18,支出,晚餐,,-95.0
2016-06-18,支出,午餐,,-39.0
2016-06-18,支出,零食,,-28.0
2016-06-24,支出,日常用品,電信悠遊卡,-200.0
2016-06-24,支出,type107,麥克風,-199.0
2016-07-01,支出,交通,高鐵定期票,-5685.0
2016-07-01,支出,午餐,,-85.0
2016-07-01,支出,飲料,,-49.0
2016-07-01,支出,交通,停車,-30.0
2016-07-02,支出,type107,看電影,-340.0
2016-07-03,支出,午餐,,-190.0
2016-07-04,支出,日常用品,小米行動電源,-365.0
2016-07-04,支出,午餐,,-80.0
2016-07-04,支出,交通,停車,-30.0
2016-07-05,支出,午餐,,-90.0
2016-07-05,支出,交通,停車,-30.0
2016-07-06,支出,午餐,,-100.0
2016-07-06,支出,交通,停車,-30.0
2016-07-07,支出,交通,悠遊卡,-100.0
2016-07-07,支出,午餐,,-90.0
2016-07-07,支出,交通,停車,-30.0
2016-07-08,支出,type107,poe,-168.0
2016-07-09,支出,午餐,,-451.0
2016-07-09,支出,飲料,,-45.0
2016-07-09,支出,交通,停車,-30.0
2016-07-11,支出,午餐,,-90.0
2016-07-11,支出,交通,停車,-30.0
2016-07-12,支出,交通,悠遊卡,-100.0
2016-07-12,支出,交通,停車,-30.0
2016-07-13,支出,零食,,-220.0
2016-07-13,支出,午餐,,-80.0
2016-07-13,支出,交通,停車,-30.0
2016-07-14,支出,午餐,,-85.0
2016-07-14,支出,交通,停車,-30.0
2016-07-15,支出,type110,證件套,-155.0
2016-07-15,支出,type114,照x光,-150.0
2016-07-15,支出,交通,加油,-106.0
2016-07-18,支出,午餐,,-100.0
2016-07-18,支出,交通,悠遊卡儲值,-100.0
2016-07-18,支出,交通,停車,-30.0
2016-07-19,支出,午餐,,-90.0
2016-07-19,支出,交通,停車,-30.0
2016-07-20,支出,午餐,,-100.0
2016-07-20,支出,交通,停車,-30.0
2016-07-21,支出,交通,電信悠遊卡,-100.0
2016-07-21,支出,午餐,,-90.0
2016-07-21,支出,交通,停車,-30.0
2016-07-22,支出,午餐,,-90.0
2016-07-22,支出,交通,停車,-30.0
2016-07-25,支出,午餐,,-80.0
2016-07-25,支出,交通,停車,-30.0
2016-07-26,支出,type109,lativ,-565.0
