日期,收入/支出,類別,備註,合計
2016-07-26,支出,交通,電信悠遊卡,-100.0
2016-07-26,支出,午餐,,-90.0
2016-07-26,支出,交通,停車,-30.0
2016-07-27,支出,午餐,,-75.0
2016-07-27,支出,交通,停車,-30.0
2016-07-28,支出,交通,高鐵定期票,-5585.0
2016-07-28,支出,午餐,,-90.0
2016-07-28,支出,交通,停車,-30.0
2016-07-29,支出,午餐,,-90.0
2016-07-29,支出,交通,停車,-30.0
2016-07-30,支出,門票,游泳,-30.0
2016-07-31,支出,交通,電信悠遊卡,-100.0
2016-08-01,支出,午餐,,-90.0
2016-08-01,支出,交通,停車,-30.0
2016-08-01,收入,type200,中研院暑期實習 7月,20599.0
2016-08-02,支出,type107,電影票,-235.0
2016-08-02,支出,午餐,,-85.0
2016-08-02,支出,交通,停車,-30.0
2016-08-03,支出,午餐,,-90.0
2016-08-03,支出,交通,停車,-30.0
2016-08-04,支出,交通,電信悠遊卡,-100.0
2016-08-04,支出,午餐,,-90.0
2016-08-04,支出,交通,停車,-30.0
2016-08-05,支出,午餐,,-80.0
2016-08-05,支出,交通,停車,-30.0
2016-08-08,支出,午餐,,-90.0
2016-08-08,支出,交通,停車,-30.0
2016-08-09,支出,交通,電信悠遊卡,-100.0
2016-08-09,支出,午餐,,-80.0
2016-08-09,支出,交通,停車,-30.0
2016-08-10,支出,午餐,,-95.0
2016-08-10,支出,交通,停車,-30.0
2016-08-11,支出,午餐,,-80.0
2016-08-11,支出,交通,停車,-30.0
2016-08-12,支出,交通,電信悠遊卡,-100.0
2016-08-12,支出,午餐,,-90.0
2016-08-13,支出,門票,游泳,-30.0
2016-08-14,支出,日常用品,剪頭髮,-100.0
2016-08-15,支出,午餐,,-80.0
2016-08-15,支出,交通,停車,-30.0
2016-08-16,支出,午餐,,-65.0
2016-08-16,支出,交通,停車,-30.0
2016-08-17,支出,午餐,,-90.0
2016-08-17,支出,交通,停車,-30.0
2016-08-18,支出,交通,電信悠遊卡,-100.0
2016-08-18,支出,午餐,,-65.0
2016-08-18,支出,交通,停車,-30.0
2016-08-19,支出,午餐,,-65.0
2016-08-19,支出,交通,停車,-30.0
2016-08-20,支出,type107,Xperia X,-11800.0
2016-08-20,支出,午餐,,-110.0
2016-08-20,支出,type114,掛號費,-100.0
2016-08-22,支出,午餐,,-85.0
2016-08-22,支出,交通,停車,-30.0
2016-08-23,支出,交通,電信悠遊卡,-100.0
2016-08-23,支出,午餐,,-80.0
2016-08-23,支出,交通,停車,-30.0
2016-08-24,支出,午餐,,-85.0
2016-08-24,支出,交通,停車,-30.0
2016-08-25,支出,午餐,,-65.0
2016-08-25,支出,交通,停車,-30.0
2016-08-26,支出,交通,電信悠遊卡,-100.0
2016-08-26,支出,午餐,,-80.0
2016-08-26,支出,交通,停車,-30.0
2016-08-29,支出,午餐,,-80.0
2016-08-29,支出,交通,停車,-30.0
2016-08-30,支出,午餐,,-130.0
2016-08-30,支出,交通,停車,-30.0
2016-08-31,支出,交通,高鐵票,-400.0
2016-08-31,支出,交通,停車,-30.0
2016-09-01,支出,午餐,,-85.0
2016-09-01,支出,type119,影印成績單,-10.0
2016-09-01,支出,type119,影印抵免學分單,-4.0
2016-09-01,收入,type200,中研院暑期實習 8月,20599.0
2016-09-05,支出,交通,高鐵票,-380.0
2016-09-05,支出,交通,電信悠遊卡,-100.0
2016-09-05,支出,交通,停車,-30.0
2016-09-06,支出,晚餐,,-60.0
2016-09-07,支出,門票,游泳池票卡,-450.0
2016-09-07,支出,日常用品,冷氣卡,-250.0
2016-09-07,支出,晚餐,,-65.0
2016-09-07,支出,午餐,,-52.0
2016-09-07,支出,日常用品,掛勾,-25.0
2016-09-07,支出,日常用品,膠帶,-18.0
2016-09-08,支出,type110,小米路由器,-880.0
2016-09-08,支出,type114,新生健檢,-730.0
2016-09-08,支出,type110,延長線,-278.0
2016-09-08,支出,午餐,,-65.0
2016-09-08,支出,晚餐,,-60.0
2016-09-08,支出,type119,影印,-18.0
2016-09-09,支出,晚餐,,-99.0
2016-09-09,支出,午餐,,-55.0
2016-09-10,支出,晚餐,,-70.0
2016-09-10,支出,午餐,,-55.0
2016-09-10,支出,宵夜,,-20.0
2016-09-11,支出,晚餐,,-70.0
2016-09-11,支出,午餐,,-60.0
2016-09-11,支出,飲料,水,-18.0
2016-09-12,支出,日常用品,3m掛勾,-179.0
2016-09-12,支出,晚餐,,-99.0
2016-09-12,支出,午餐,,-51.0
2016-09-12,支出,type119,影印加簽單,-1.0
2016-09-13,支出,晚餐,,-120.0
2016-09-13,支出,午餐,,-65.0
2016-09-13,支出,type119,影印加簽單,-1.0
2016-09-14,支出,交通,高鐵票,-125.0
2016-09-14,支出,午餐,,-99.0
2016-09-15,支出,type107,看電影,-340.0
2016-09-15,支出,午餐,,-139.0
2016-09-18,支出,交通,高鐵票,-125.0
2016-09-18,支出,晚餐,,-65.0
2016-09-19,支出,晚餐,,-155.0
2016-09-19,支出,午餐,,-51.0
2016-09-20,支出,晚餐,,-100.0
2016-09-20,支出,交通,豪泰,-100.0
2016-09-20,支出,早餐,,-55.0
2016-09-21,支出,晚餐,,-110.0
2016-09-21,支出,早餐,,-55.0
2016-09-22,支出,午餐,,-95.0
2016-09-22,支出,晚餐,,-75.0
2016-09-23,支出,交通,電信悠遊卡,-100.0
2016-09-23,支出,晚餐,,-79.0
2016-09-23,支出,早餐,,-53.0
2016-09-23,支出,飲料,水,-20.0
2016-09-24,支出,午餐,,-87.0
2016-09-24,支出,晚餐,,-75.0
2016-09-25,支出,晚餐,,-90.0
2016-09-25,支出,早餐,,-51.0
2016-09-26,支出,晚餐,,-60.0
2016-09-27,支出,午餐,,-108.0
2016-09-28,支出,晚餐,,-110.0
2016-09-28,支出,午餐,,-99.0
2016-09-29,支出,書,影印,-120.0
2016-09-29,支出,午餐,,-77.0
2016-09-29,支出,日常用品,立可帶,-29.0
2016-09-30,支出,晚餐,,-550.0
2016-09-30,支出,交通,高鐵票,-160.0
2016-09-30,支出,午餐,,-19.0
2016-10-01,收入,type200,研究生獎助學金 9月,5000.0
2016-10-02,支出,交通,高鐵票,-125.0
2016-10-02,支出,晚餐,,-60.0
2016-10-03,支出,晚餐,,-65.0
2016-10-03,支出,書,印paper,-40.0
2016-10-03,支出,早餐,,-20.0
2016-10-04,支出,晚餐,,-75.0
2016-10-04,支出,早餐,,-41.0
2016-10-04,支出,飲料,,-32.0
2016-10-04,支出,書,影印,-16.0
2016-10-04,支出,書,影印,-6.0
2016-10-05,支出,晚餐,,-90.0
2016-10-05,支出,午餐,,-50.0
2016-10-05,支出,書,影印,-4.0
2016-10-06,支出,晚餐,,-60.0
2016-10-07,支出,晚餐,,-148.0
2016-10-07,支出,早餐,,-20.0
2016-10-07,支出,type119,影印學分繳費單,-1.0
2016-10-08,支出,交通,高鐵票,-125.0
2016-10-08,支出,午餐,,-42.0
2016-10-10,支出,交通,高鐵票,-125.0
2016-10-10,支出,晚餐,,-68.0
2016-10-11,支出,晚餐,,-75.0
2016-10-11,支出,午餐,,-50.0
2016-10-12,支出,晚餐,,-75.0
2016-10-12,支出,午餐,,-50.0
2016-10-12,支出,飲料,,-40.0
2016-10-12,支出,早餐,,-25.0
2016-10-12,支出,type107,退票,-20.0
2016-10-12,支出,書,影印,-15.0
2016-10-13,支出,type109,lativ,-340.0
2016-10-13,支出,交通,豪泰,-200.0
2016-10-13,支出,晚餐,,-80.0
2016-10-13,支出,書,影印,-25.0
2016-10-13,支出,早餐,,-15.0
2016-10-14,支出,晚餐,,-180.0
2016-10-14,支出,午餐,,-135.0
2016-10-14,支出,交通,電信悠遊卡,-100.0
2016-10-14,支出,早餐,,-20.0
2016-10-15,支出,晚餐,,-80.0
2016-10-15,支出,早餐,,-50.0
2016-10-16,支出,午餐,,-320.0
2016-10-16,支出,type107,看電影,-300.0
2016-10-16,支出,晚餐,,-90.0
2016-10-16,支出,飲料,,-85.0
2016-10-16,支出,早餐,,-45.0
2016-10-17,支出,晚餐,,-150.0
2016-10-17,支出,書,影印,-8.0
2016-10-18,支出,晚餐,,-70.0
2016-10-18,支出,午餐,,-50.0
2016-10-18,支出,早餐,,-42.0
2016-10-18,支出,書,影印,-13.0
2016-10-19,支出,晚餐,,-70.0
2016-10-19,支出,午餐,,-50.0
2016-10-20,支出,晚餐,,-89.0
2016-10-20,支出,早餐,,-20.0
2016-10-20,支出,飲料,,-18.0
2016-10-21,支出,交通,高鐵票,-190.0
2016-10-21,支出,午餐,,-115.0
2016-10-21,支出,交通,客運票,-100.0
2016-10-21,支出,交通,電信悠遊卡,-100.0
2016-10-21,支出,早餐,,-50.0
2016-10-23,支出,交通,高鐵票,-125.0
2016-10-24,支出,晚餐,,-75.0
2016-10-24,支出,書,影印,-13.0
2016-10-25,支出,晚餐,,-75.0
2016-10-25,支出,午餐,,-50.0
2016-10-26,支出,交通,豪泰,-200.0
2016-10-26,支出,晚餐,,-180.0
2016-10-26,支出,午餐,,-50.0
2016-10-26,支出,書,影印,-15.0
2016-10-27,支出,晚餐,,-625.0
2016-10-27,支出,日常用品,冷氣卡,-200.0
2016-10-27,支出,早餐,,-30.0
2016-10-28,支出,午餐,,-126.0
2016-10-28,支出,晚餐,,-75.0
2016-10-28,支出,早餐,,-50.0
2016-10-29,支出,type107,看電影,-300.0
2016-10-29,支出,午餐,,-264.0
2016-10-29,支出,晚餐,,-105.0
2016-10-29,支出,交通,電信悠遊卡,-100.0
2016-10-29,支出,早餐,,-65.0
2016-10-29,支出,飲料,,-29.0
2016-10-30,支出,晚餐,,-125.0
2016-10-31,支出,晚餐,,-60.0
2016-10-31,支出,早餐,,-50.0
2016-10-31,支出,書,影印,-9.0
2016-11-01,支出,晚餐,,-65.0
2016-11-01,支出,午餐,,-50.0
2016-11-01,支出,書,影印,-8.0
2016-11-01,收入,type200,研究生獎助學金 10月,5000.0
2016-11-02,支出,晚餐,,-95.0
2016-11-02,支出,午餐,,-20.0
2016-11-03,支出,晚餐,,-60.0
2016-11-03,支出,早餐,,-34.0
2016-11-03,支出,書,,-33.0
2016-11-03,支出,午餐,,-27.0
2016-11-04,支出,type107,,-265.0
2016-11-04,支出,交通,高鐵票,-125.0
2016-11-04,支出,飲料,,-20.0
2016-11-06,支出,交通,高鐵票,-125.0
2016-11-06,支出,晚餐,,-35.0
2016-11-07,支出,晚餐,,-50.0
2016-11-08,支出,晚餐,,-65.0
2016-11-08,支出,午餐,,-50.0
2016-11-09,支出,晚餐,,-85.0
2016-11-09,支出,午餐,,-50.0
2016-11-10,支出,晚餐,,-50.0
2016-11-10,支出,早餐,,-34.0
2016-11-10,支出,書,影印,-9.0
2016-11-11,支出,交通,豪泰,-200.0
2016-11-11,支出,交通,電信悠遊卡,-200.0
2016-11-11,支出,午餐,,-90.0
2016-11-11,支出,晚餐,,-60.0
2016-11-11,支出,早餐,,-50.0
2016-11-12,支出,晚餐,,-115.0
2016-11-12,支出,早餐,,-50.0
2016-11-13,支出,晚餐,,-150.0
2016-11-13,支出,早餐,,-61.0
2016-11-14,支出,晚餐,,-65.0
2016-11-14,支出,早餐,,-50.0
2016-11-14,支出,飲料,,-10.0
2016-11-15,支出,晚餐,,-75.0
2016-11-15,支出,午餐,,-50.0
2016-11-15,支出,書,影印,-9.0
2016-11-16,支出,type107,steam錢包,-150.0
2016-11-16,支出,晚餐,,-95.0
2016-11-16,支出,早餐,,-53.0
2016-11-17,支出,晚餐,,-50.0
2016-11-17,支出,早餐,,-18.0
2016-11-18,支出,交通,高鐵票,-190.0
2016-11-18,支出,午餐,,-130.0
2016-11-18,支出,晚餐,,-120.0
2016-11-18,支出,交通,豪泰,-100.0
2016-11-18,支出,早餐,,-50.0
2016-11-20,支出,交通,高鐵票,-125.0
2016-11-20,支出,晚餐,,-40.0
2016-11-21,支出,午餐,,-51.0
2016-11-21,支出,書,影印,-12.0
2016-11-22,支出,晚餐,,-75.0
2016-11-22,支出,午餐,,-50.0
2016-11-22,支出,書,影印,-12.0
2016-11-23,支出,晚餐,,-75.0
2016-11-23,支出,午餐,,-50.0
2016-11-24,支出,晚餐,,-95.0
2016-11-24,支出,午餐,,-27.0
2016-11-24,支出,書,影印,-19.0
2016-11-25,支出,交通,高鐵票,-190.0
2016-11-25,支出,午餐,,-130.0
2016-11-25,支出,交通,豪泰,-100.0
2016-11-25,支出,晚餐,,-100.0
2016-11-25,支出,早餐,,-50.0
2016-11-26,支出,午餐,,-90.0
2016-11-27,支出,交通,高鐵票,-125.0
2016-11-27,支出,晚餐,,-73.0
2016-11-28,支出,type107,steam錢包,-300.0
2016-11-28,支出,晚餐,,-75.0
2016-11-28,支出,午餐,,-20.0
2016-11-29,支出,晚餐,,-95.0
2016-11-29,支出,午餐,,-50.0
2016-11-29,支出,日常用品,藍筆,-37.0
2016-11-29,支出,書,影印,-10.0
2016-11-30,支出,晚餐,,-160.0
2016-11-30,支出,午餐,,-50.0
2016-12-01,支出,晚餐,,-75.0
2016-12-01,支出,午餐,,-50.0
2016-12-01,收入,type200,研究生獎助學金 11月,5000.0
2016-12-02,支出,交通,豪泰,-200.0
2016-12-02,支出,交通,電信悠遊卡,-200.0
2016-12-02,支出,午餐,,-90.0
2016-12-02,支出,晚餐,,-80.0
2016-12-02,支出,早餐,,-50.0
2016-12-03,支出,午餐,,-50.0
2016-12-03,支出,晚餐,,-50.0
2016-12-03,支出,飲料,,-5.0
2016-12-04,支出,晚餐,,-90.0
2016-12-04,支出,午餐,,-24.0
2016-12-05,支出,晚餐,,-75.0
2016-12-05,支出,午餐,,-49.0
2016-12-06,支出,晚餐,,-85.0
2016-12-06,支出,午餐,,-55.0
2016-12-06,支出,飲料,,-41.0
2016-12-07,支出,晚餐,,-95.0
2016-12-07,支出,午餐,,-50.0
2016-12-08,支出,晚餐,,-65.0
2016-12-08,支出,午餐,,-50.0
2016-12-08,支出,書,影印,-17.0
2016-12-09,支出,交通,高鐵票,-190.0
2016-12-09,支出,午餐,,-130.0
2016-12-09,支出,交通,豪泰,-100.0
2016-12-09,支出,晚餐,,-80.0
2016-12-09,支出,早餐,,-50.0
2016-12-11,支出,交通,高鐵票,-125.0
2016-12-11,支出,晚餐,,-65.0
2016-12-12,支出,晚餐,,-65.0
2016-12-12,支出,午餐,,-54.0
2016-12-13,支出,晚餐,,-85.0
2016-12-13,支出,午餐,,-50.0
2016-12-13,支出,書,影印,-11.0
2016-12-14,支出,晚餐,,-95.0
2016-12-14,支出,午餐,,-50.0
2016-12-15,支出,晚餐,,-100.0
2016-12-15,支出,type107,巴哈動畫瘋,-99.0
2016-12-15,支出,午餐,,-20.0
2016-12-16,支出,午餐,,-20.0
2016-12-17,支出,午餐,,-86.0
2016-12-17,支出,晚餐,,-60.0
2016-12-18,支出,晚餐,,-100.0
2016-12-18,支出,早餐,,-75.0
2016-12-18,收入,type204,冷氣卡退費,50.0
2016-12-19,支出,晚餐,,-120.0
2016-12-19,支出,午餐,,-20.0
2016-12-20,支出,晚餐,,-95.0
2016-12-20,支出,午餐,,-50.0
2016-12-20,支出,書,影印,-10.0
2016-12-21,支出,type107,steam錢包,-150.0
2016-12-21,支出,晚餐,,-85.0
2016-12-21,支出,宵夜,,-20.0
2016-12-22,支出,晚餐,,-95.0
2016-12-22,支出,午餐,,-20.0
2016-12-22,支出,書,影印,-9.0
2016-12-23,支出,交通,高鐵,-190.0
2016-12-23,支出,午餐,,-130.0
2016-12-23,支出,交通,豪泰,-105.0
2016-12-23,支出,晚餐,,-100.0
2016-12-23,支出,早餐,,-50.0
2016-12-24,支出,晚餐,,-483.0
2016-12-26,支出,交通,高鐵票,-125.0
2016-12-26,支出,晚餐,,-60.0
2016-12-26,支出,書,影印,-11.0
2016-12-27,支出,type107,Skyline,-213.0
2016-12-27,支出,晚餐,,-95.0
2016-12-27,支出,午餐,,-50.0
2016-12-27,支出,書,影印,-16.0
2016-12-28,支出,晚餐,,-80.0
2016-12-29,支出,晚餐,,-95.0
2016-12-29,支出,午餐,,-46.0
2016-12-29,支出,日常用品,藍筆筆芯,-27.0
2016-12-30,支出,交通,豪泰,-210.0
2016-12-30,支出,晚餐,,-110.0
2016-12-30,支出,日常用品,護唇膏,-100.0
2016-12-30,支出,午餐,,-80.0
2016-12-30,支出,早餐,,-50.0
2016-12-31,支出,type107,steam錢包,-150.0
2016-12-31,支出,午餐,,-100.0
2017-01-01,支出,晚餐,,-154.0
2017-01-01,支出,宵夜,,-25.0
2017-01-01,收入,type200,研究生獎助學金 12月,5000.0
2017-01-02,支出,晚餐,,-75.0
2017-01-02,支出,午餐,,-50.0
2017-01-03,支出,晚餐,,-125.0
2017-01-03,支出,午餐,,-50.0
2017-01-03,支出,書,影印,-10.0
2017-01-04,支出,晚餐,,-95.0
2017-01-04,支出,午餐,,-50.0
2017-01-05,支出,晚餐,,-45.0
2017-01-05,支出,午餐,,-20.0
2017-01-06,支出,交通,電信悠遊卡,-200.0
2017-01-06,支出,午餐,,-144.0
2017-01-06,支出,交通,豪泰,-105.0
2017-01-06,支出,早餐,,-50.0
2017-01-08,支出,type107,steam錢包,-150.0
2017-01-08,支出,交通,高鐵票,-125.0
2017-01-08,支出,晚餐,,-85.0
2017-01-09,支出,晚餐,,-60.0
2017-01-09,支出,午餐,,-34.0
2017-01-10,支出,晚餐,,-90.0
2017-01-10,支出,午餐,,-50.0
2017-01-11,支出,晚餐,,-60.0
2017-01-11,支出,午餐,,-40.0
2017-01-12,支出,晚餐,,-90.0
2017-01-13,支出,早餐,,-50.0
2017-01-15,支出,交通,高鐵回數票+製卡費,-1420.0
2017-01-16,支出,午餐,,-90.0
2017-01-17,支出,午餐,,-65.0
2017-01-19,支出,交通,高鐵回數票,-1320.0
2017-01-19,支出,交通,電信悠遊卡,-200.0
2017-01-19,支出,午餐,,-55.0
2017-01-19,支出,交通,停車,-30.0
2017-01-20,支出,午餐,,-55.0
2017-01-20,支出,交通,停車,-30.0
2017-01-24,支出,晚餐,,-360.0
2017-01-24,支出,交通,高鐵票,-310.0
2017-01-29,支出,type107,黑色沙漠,-299.0
2017-02-01,收入,type200,研究生獎助學金 1月,5000.0
2017-02-05,支出,晚餐,,-75.0
2017-02-06,支出,日常用品,溫濕度計,-890.0
2017-02-06,支出,晚餐,,-75.0
2017-02-06,支出,午餐,,-70.0
2017-02-06,支出,早餐,,-65.0
2017-02-07,支出,日常用品,洗衣精,-170.0
2017-02-07,支出,晚餐,,-80.0
2017-02-07,支出,午餐,,-75.0
2017-02-07,支出,早餐,,-50.0
2017-02-08,支出,晚餐,,-75.0
2017-02-08,支出,午餐,,-50.0
2017-02-08,支出,早餐,,-45.0
2017-02-09,支出,晚餐,,-80.0
2017-02-09,支出,午餐,,-70.0
2017-02-09,支出,早餐,,-68.0
2017-02-09,支出,宵夜,,-40.0
2017-02-10,支出,晚餐,,-60.0
2017-02-10,支出,早餐,,-55.0
2017-02-10,支出,午餐,,-50.0
2017-02-13,支出,晚餐,,-140.0
2017-02-13,支出,午餐,,-80.0
2017-02-14,支出,晚餐,,-150.0
2017-02-14,支出,早餐,,-68.0
2017-02-14,支出,午餐,,-50.0
2017-02-15,支出,日常用品,牙線、穿透器、牙菌斑顯示錠,-527.0
2017-02-15,支出,交通,電信悠遊卡,-200.0
2017-02-15,支出,晚餐,,-120.0
2017-02-15,支出,早餐,,-68.0
2017-02-15,支出,日常用品,牙線,-50.0
2017-02-15,支出,飲料,,-25.0
2017-02-16,支出,午餐,,-80.0
2017-02-16,支出,晚餐,,-80.0
2017-02-16,支出,早餐,,-45.0
2017-02-16,收入,type201,統一發票,200.0
2017-02-17,支出,晚餐,,-85.0
2017-02-17,支出,午餐,,-65.0
2017-02-17,支出,早餐,,-60.0
2017-02-18,支出,晚餐,,-65.0
2017-02-18,支出,午餐,,-60.0
2017-02-18,支出,宵夜,,-40.0
2017-02-19,支出,午餐,,-80.0
2017-02-19,支出,晚餐,,-80.0
2017-02-20,支出,晚餐,,-90.0
2017-02-20,支出,午餐,,-80.0
2017-02-20,支出,宵夜,,-50.0
2017-02-21,支出,午餐,,-80.0
2017-02-21,支出,零食,,-72.0
2017-02-21,支出,晚餐,,-70.0
2017-02-21,支出,早餐,,-45.0
2017-02-22,支出,交通,豪泰,-110.0
2017-02-22,支出,晚餐,,-97.0
2017-02-22,支出,午餐,,-75.0
2017-02-22,支出,零食,,-12.0
2017-02-23,支出,晚餐,,-100.0
2017-02-23,支出,午餐,,-39.0
2017-02-24,支出,晚餐,,-825.0
2017-02-24,支出,交通,高鐵,-160.0
2017-02-24,支出,午餐,,-60.0
2017-02-24,支出,早餐,,-45.0
2017-02-28,支出,飲料,水,-49.0
2017-03-01,支出,type110,皮夾,-1488.0
2017-03-01,支出,晚餐,,-138.0
2017-03-01,支出,午餐,,-72.0
2017-03-01,收入,type200,研究生獎助學金 2月,5000.0
2017-03-02,支出,晚餐,,-100.0
2017-03-02,支出,早餐,,-45.0
2017-03-03,支出,午餐,,-90.0
2017-03-03,支出,晚餐,,-80.0
2017-03-03,支出,早餐,,-65.0
2017-03-04,支出,午餐,,-142.0
2017-03-04,支出,晚餐,,-80.0
2017-03-04,支出,飲料,水,-20.0
2017-03-05,支出,午餐,,-100.0
2017-03-05,支出,晚餐,,-60.0
2017-03-06,支出,午餐,,-131.0
2017-03-06,支出,晚餐,,-100.0
2017-03-06,支出,早餐,,-52.0
2017-03-07,支出,日常用品,文具,-123.0
2017-03-07,支出,午餐,,-85.0
2017-03-07,支出,晚餐,,-80.0
2017-03-08,支出,晚餐,,-125.0
2017-03-08,支出,早餐,,-80.0
2017-03-08,支出,宵夜,,-45.0
2017-03-08,支出,日常用品,藍筆,-34.0
2017-03-09,支出,晚餐,,-100.0
2017-03-09,支出,午餐,,-60.0
2017-03-09,支出,早餐,,-45.0
2017-03-10,支出,晚餐,,-119.0
2017-03-10,支出,午餐,,-50.0
2017-03-10,支出,宵夜,,-40.0
2017-03-10,支出,早餐,,-23.0
2017-03-10,支出,type107,顯示卡 asus 470 4g 已退費,-1.0
2017-03-11,支出,午餐,,-105.0
2017-03-11,支出,晚餐,,-70.0
2017-03-11,支出,飲料,水,-59.0
2017-03-11,支出,宵夜,,-40.0
2017-03-12,支出,type107,asus strix DC1060,-9390.0
2017-03-12,支出,午餐,,-66.0
2017-03-12,支出,晚餐,,-50.0
2017-03-13,支出,晚餐,,-80.0
2017-03-13,支出,午餐,,-25.0
2017-03-14,支出,晚餐,,-90.0
2017-03-14,支出,午餐,,-70.0
2017-03-14,支出,早餐,,-68.0
2017-03-14,支出,宵夜,,-40.0
2017-03-15,支出,晚餐,,-80.0
2017-03-16,支出,晚餐,,-100.0
2017-03-16,支出,午餐,,-70.0
2017-03-16,支出,早餐,,-45.0
2017-03-17,支出,交通,高鐵票,-190.0
2017-03-17,支出,午餐,,-65.0
2017-03-17,支出,早餐,,-50.0
2017-03-19,支出,交通,高鐵票,-190.0
2017-03-19,支出,晚餐,,-100.0
2017-03-19,收入,type204,高鐵回數票退費,540.0
2017-03-20,支出,晚餐,,-100.0
2017-03-20,支出,飲料,水,-59.0
2017-03-20,支出,午餐,,-25.0
2017-03-21,支出,早餐,,-90.0
2017-03-21,支出,早餐,,-77.0
2017-03-21,支出,午餐,,-50.0
2017-03-22,支出,晚餐,,-100.0
2017-03-22,支出,午餐,,-75.0
2017-03-22,支出,零食,,-52.0
2017-03-22,支出,日常用品,甜心卡,-39.0
2017-03-23,支出,晚餐,,-120.0
2017-03-23,支出,午餐,,-70.0
2017-03-23,支出,早餐,,-18.5
2017-03-24,支出,晚餐,,-100.0
2017-03-24,支出,午餐,,-70.0
2017-03-24,支出,早餐,,-48.5
2017-03-24,支出,宵夜,,-20.0
2017-03-25,支出,午餐,,-80.0
2017-03-25,支出,晚餐,,-50.0
2017-03-25,支出,宵夜,,-28.0
2017-03-25,支出,早餐,,-21.0
2017-03-26,支出,午餐,,-80.0
2017-03-26,支出,晚餐,,-70.0
2017-03-26,支出,早餐,,-21.0
2017-03-26,支出,宵夜,,-20.0
2017-03-27,支出,晚餐,,-100.0
2017-03-27,支出,午餐,,-70.0
2017-03-27,支出,早餐,,-68.0
2017-03-28,支出,午餐,,-110.0
2017-03-28,支出,晚餐,,-90.0
2017-03-28,支出,早餐,,-45.0
2017-03-29,支出,晚餐,,-80.0
2017-03-29,支出,早餐,,-75.0
2017-03-30,支出,午餐,,-100.0
2017-03-30,支出,晚餐,,-100.0
2017-03-30,支出,早餐,,-48.0
2017-03-31,支出,晚餐,,-550.0
2017-03-31,支出,交通,電信悠遊卡,-200.0
2017-03-31,支出,午餐,,-50.0
2017-03-31,支出,交通,停車費,-50.0
2017-03-31,支出,早餐,,-45.0
2017-04-01,收入,type200,研究生獎助學金 3月,5000.0
2017-04-04,支出,晚餐,,-50.0
2017-04-05,支出,晚餐,,-100.0
2017-04-05,支出,午餐,,-85.0
2017-04-05,支出,早餐,,-45.0
2017-04-06,支出,日常用品,牙線x12,-479.0
2017-04-06,支出,type110,NCAA束口袋,-352.0
2017-04-06,支出,晚餐,,-100.0
2017-04-06,支出,日常用品,口腔鏡,-99.0
2017-04-06,支出,午餐,,-70.0
2017-04-07,支出,晚餐,,-90.0
2017-04-07,支出,午餐,,-70.0
2017-04-07,支出,早餐,,-50.0
2017-04-07,支出,宵夜,,-30.0
2017-04-08,支出,午餐,,-70.0
2017-04-08,支出,晚餐,,-70.0
2017-04-08,支出,宵夜,,-30.0
2017-04-08,支出,早餐,,-21.0
2017-04-09,支出,午餐,,-70.0
2017-04-09,支出,早餐,,-21.0
2017-04-10,支出,午餐,,-120.0
2017-04-10,支出,晚餐,,-100.0
2017-04-10,支出,早餐,,-63.5
2017-04-11,支出,晚餐,,-90.0
2017-04-11,支出,午餐,,-80.0
2017-04-11,支出,早餐,,-63.5
2017-04-12,支出,晚餐,,-125.0
2017-04-12,支出,早餐,,-80.0
2017-04-13,支出,晚餐,,-100.0
2017-04-13,支出,午餐,,-70.0
2017-04-13,支出,早餐,,-45.0
2017-04-14,支出,交通,高鐵票,-190.0
2017-04-14,支出,午餐,,-100.0
2017-04-14,支出,早餐,,-45.0
2017-04-16,支出,type107,電影票,-240.0
2017-04-16,支出,午餐,,-223.0
2017-04-16,支出,交通,高鐵票,-190.0
2017-04-16,支出,飲料,,-50.0
2017-04-17,支出,晚餐,,-70.0
2017-04-17,支出,宵夜,,-40.0
2017-04-18,支出,午餐,,-160.0
2017-04-18,支出,晚餐,,-100.0
2017-04-18,支出,早餐,,-63.5
2017-04-19,支出,晚餐,,-99.0
2017-04-19,支出,早餐,,-80.0
2017-04-20,支出,午餐,,-100.0
2017-04-20,支出,晚餐,,-90.0
2017-04-20,支出,早餐,,-48.5
2017-04-21,支出,晚餐,,-100.0
2017-04-21,支出,早餐,,-95.0
2017-04-21,支出,午餐,,-55.0
2017-04-21,支出,宵夜,,-40.0
2017-04-22,支出,午餐,,-100.0
2017-04-22,支出,晚餐,,-50.0
2017-04-22,支出,飲料,水,-49.0
2017-04-22,支出,宵夜,,-40.0
2017-04-22,支出,早餐,,-21.0
2017-04-23,支出,午餐,,-63.0
2017-04-23,支出,早餐,,-21.0
2017-04-24,支出,type107,喇叭 Edifier M2280,-1390.0
2017-04-24,支出,晚餐,,-100.0
2017-04-24,支出,午餐,,-70.0
2017-04-24,支出,早餐,,-63.5
2017-04-25,支出,晚餐,,-90.0
2017-04-25,支出,午餐,,-70.0
2017-04-25,支出,早餐,,-63.5
2017-04-26,支出,晚餐,,-150.0
2017-04-26,支出,早餐,,-80.0
2017-04-27,支出,type107,MLB.TV,-1728.0
2017-04-27,支出,晚餐,,-100.0
2017-04-27,支出,午餐,,-75.0
2017-04-27,支出,早餐,,-45.0
2017-04-28,支出,晚餐,,-582.0
